rock_name,rock_type,description,color,hardness,composition,density,common_location,fun_fact,photo_url,rarity
Schist,Metamorphic Rock,"Schist is a medium- to high-grade metamorphic rock characterized by its pronounced foliation, meaning it has easily visible layers or plates of minerals.","Gray, Greenish-gray, silvery, brown",4 - 6,"Mica minerals (biotite, muscovite)
commonly contains quartz, feldspar, chlorite, garnet, staurolite, kyanite",2.6 - 2.9 g/cm3,Murai Area in Northwest of Singapore,"The term “schist” comes from the Greek word skhistos, meaning “split.”",rock-image-display/schist.png,common
Norite,Igneous Rock,Norite is a coarse-grained mafic intrusive igneous rock that is similar to gabbro but contains orthopyroxene instead of clinopyroxene as its dominant dark mineral.,"Dark gray, black",6 - 7,"Orthopyroxene, Plagioclase feldspar",2.8 - 3.2 g/cm3,Northwestern Singapore,Norite is found on the Moon and in Martian meteorites!,rock-image-display/norite.png,rare
Argillite,Sedimentary Rock,"Argillite is a hardened, compacted sedimentary rock derived from mudstone or shale.","Gray, blue-gray, greenish, black",2 - 3.5,"Clay minerals (illite, kaolinite)",2.4 - 2.7 g/cm3,"Southwestern Singapore, Western Singapore","Argillite can become slate under higher-grade metamorphism. In some places, it was historically used by Indigenous peoples (e.g., in Canada) for carving ceremonial objects",rock-image-display/argillite.png,rare
Siltstone,Sedimentary Rock,Siltstone is a fine-grained sedimentary rock composed primarily of silt-sized particles that are finer than sand but coarser than clay.,"Gray, Brown, Reddish, greenish",3 - 4,"Quartz, Feldspar, Mica",2.5 - 2.7 g/cm3,"Tuas, Jurong east, Clementi","Although not as well-known as sandstone or shale, siltstone often records ancient environments",rock-image-display/siltstone.jpg,common
Conglomerate,Sedimentary Rock,"Conglomerate is a coarse-grained clastic sedimentary rock made up of rounded fragments (called clasts) that are greater than 2 mm in diameter, cemented together by finer materials like sand, silt, or clay.","Brown, Gray, Reddish, Yellowish",2 - 6,"Clasts: Rounded fragments of quartz, chert, granite, or other rocks
Matrix:  Fine particles like sand, silt, or clay
Cemented by silica, calcite, or iron oxide",2.4 - 2.7 g/cm3,"Western singapore, Tuas, Jurong, Clementi","Conglomerates are like ""natural concrete"", often preserving a record of ancient river systems or shoreline environments.",rock-image-display/conglomerate.png,common
Chert,Sedimentary Rock,"Chert is a hard, fine-grained sedimentary rock composed mostly of microcrystalline quartz","Gray, White, brown",7,"silica, fossils, clay, iron oxides",2.5 - 2.6 g/cm3,Small nodules or layers within Jurong Formation sedimentary rocks,Chert was widely used by prehistoric humans to make tools and weapons because it breaks with sharp edges.,rock-image-display/chert.png,common
Granulite,Metamorphic Rock,"Granulite is a high-grade metamorphic rock that forms under extreme temperature and pressure, typically deep in the continental crust.","Gray, Greenish-gray, reddish, pink",6 - 7,"feldspar, quartz, pyroxene, garnet, silimanite",2.7 - 3.0 g/cm3,"Bukit Timah, Murai Area",Granulite represents some of the deepest and most ancient parts of Earth's crust.,rock-image-display/granulite.png,rare
Gneiss,Metamorphic Rock,"Gneiss is a high-grade metamorphic rock characterized by its distinctive banded or foliated appearance, formed under intense pressure and temperature.","Gray, White, pink",6 - 7,"Quartz, feldspar, biotite, hornblende, garnet",2.7 - 3.0 g/cm3,Bukit Timah,"The word ""gneiss"" comes from the German word meaning ""spark,"" possibly referring to its shiny mineral layers.",rock-image-display/gneiss.png,common
Carbonatite,Igneous Rock,"Carbonatite is a rare igneous rock composed of more than 50% carbonate minerals, unlike typical igneous rocks which are silicate-based.","Gray, white, brown, yellowish",3 - 5,"Calcite, dolomite, ankerite, apatite, magnetite, barite",2.7 - 3.1 g/cm3,"Africa, India, Brazil, China","Carbonatites are economically significant because they often contain rare earth elements (REEs), niobium, and phosphates, materials that are critical for making electronics, magnets, and green technologies.",rock-image-display/carbonatite.png,rare
Granitoids,Igneous Rock,Granitoids are a broad family of coarse-grained intrusive igneous rocks that are compositionally similar to granite.,light-colored,6 - 7,"Quartz, feldspar, micas, silica, alkali and calcium content",2.6 - 2.8 g/cm3,"Central Singapore, Bukit Timah, Mandai, Sembawang",Granitoids form the foundation of many continental crusts and are often associated with mountain-building and plate tectonic activity.,rock-image-display/granitoids.png,rare
Diamictite,Sedimentary Rock,"Diamictite is a coarse-grained, clastic sedimentary rock composed of a wide range of grain sizes, from clay to boulders, all embedded in a finer-grained matrix.","Gray, Brown, Reddish, greenish",2 - 5,"heterogeneous mix of clasts (pebbles, cobbles, boulders",2.3 - 2.6 g/cm3,Jurong Formation,Diamictite is the lithified equivalent of glacial till and may contain dropstones — large clasts dropped into fine sediment by melting icebergs.,rock-image-display/diamictite.png,rare
Breccia,Sedimentary Rock,Breccia is a coarse-grained clastic rock composed of angular rock fragments (called clasts) that are cemented together by a finer-grained matrix.,"gray, brown, reddish, multi-colored",3 - 6,"Angular clasts: made of various rocks (e.g., limestone, granite, basalt)
Matrix may consist of clay, silt, sand, or calcite
Cementing agents often include silica, calcite, or iron oxides",2.4 - 2.8 g/cm3,"Jurong Formation, fault zones, weathered outcrops","The word ""breccia"" comes from the Italian word for ""broken stones.""",rock-image-display/breccia.png,rare
Anthracite,Sedimentary Rock,"Anthracite is the highest rank of coal, formed through the metamorphism of bituminous coal.",Jet black with a metallic to submetallic sheen,2.75 - 3,86% - 98% fixed carbon,1.4 - 1.8 g/cm3,,"Due to its high carbon purity and clean-burning properties, anthracite was historically used for home heating, especially in the 19th and early 20th centuries.",rock-image-display/anthracite.png,rare
Blueschist,Metamorphic Rock,"Blueschist is a rare, high-pressure, low-temperature metamorphic rock that forms in subduction zones, where oceanic crust is forced deep into the Earth’s mantle.","blue, bluish-gray, greenish-blue",5 - 6.5,"Glaucophane, lawsonite, chlorite, quartz",2.9 - 3.1 g/cm3,,Blueschist forms at depths of 15–30 km in subduction zones but at relatively low temperatures (200–500°C).,rock-image-display/blueschist.png,legendary
Chalk,Sedimentary Rock,"Chalk is a soft, white to light-gray, fine-grained sedimentary rock made almost entirely of the microscopic shells of marine organisms like coccolithophores.","white, light gray",1 - 2,"calcium carbonate, clay, quartz, organic matter",1.5 - 2.3 g/cm3,,Chalk is so porous and pure that it can store and filter water—it forms important aquifers in Europe.,rock-image-display/chalk.png,rare
Coal,Sedimentary Rock,"Coal is a carbon-rich, combustible sedimentary rock formed from the remains of plants that accumulated in swampy environments millions of years ago.","black, dark brown with dull to shiny luster","Lignite: 1–2

Bituminous: 2–3

Anthracite: 2.75–3","Mostly carbon (C) (up to 90% in anthracite)

Also contains hydrogen, oxygen, nitrogen, sulfur, and moisture

May contain inorganic minerals like clay, quartz, pyrite",1.1 - 1.5 g/cm3,,"Coal has been used as a fuel source for over 3,000 years, but today it's also crucial in producing steel, cement, and even carbon fiber materials.",rock-image-display/coal.png,common
Dolomite,Sedimentary Rock,Dolomite is a sedimentary carbonate rock primarily composed of the mineral dolomite.,"white, light gray, pink, tan, or buff",3.5 - 4,"Predominantly dolomite mineral (CaMg(CO₃)₂)

May contain calcite, quartz, clay, or organic matter",2.8 - 2.9 g/cm3,,"The Dolomite mineral and rock are named after the French geologist Déodat Gratet de Dolomieu, who first described the rock in the 18th century.",rock-image-display/dolomite.png,common
Eclogitea,Metamorphic Rock,"Eclogite is a dense, coarse-grained metamorphic rock that forms under extremely high-pressure and high-temperature conditions, typically in subduction zones where oceanic crust is driven deep into the Earth’s mantle.",Dark green to black groundmass with visible red or pink garnet crystals,7 - 8,"Primarily omphacite (a type of pyroxene, greenish)

Garnet (pyrope-almandine series, reddish)

No plagioclase, which is a key diagnostic feature",3.4 - 3.6 g/cm3,,"Eclogite forms at depths of over 40–60 km and may contain coesite, a high-pressure form of quartz, indicating ultrahigh-pressure metamorphism.",rock-image-display/eclogitea.png,rare
Evaporite,Sedimentary Rock,"Evaporites are a group of sedimentary rocks formed by the evaporation of water, usually in closed basins such as lakes, inland seas, or tidal flats.","white, gray, colorless, or pale yellow","Halite (rock salt): 2–2.5

Gypsum: 2

Anhydrite: 3–3.5","Composed of evaporite minerals, including:

Halite (NaCl)

Gypsum (CaSO₄·2H₂O)

Anhydrite (CaSO₄)

Sylvite (KCl)

Borates, nitrates, and carbonates in smaller amounts","Halite: ~2.1–2.2 g/cm³

Gypsum: ~2.3 g/cm³

Anhydrite: ~2.9 g/cm³",,"Evaporites such as halite (rock salt) have been mined and used for thousands of years—not only for preserving food but also for de-icing roads, manufacturing, and geological storage of gases (like CO₂ and natural gas) due to their impermeability.",rock-image-display/evaporite.png,rare
Flint,Sedimentary Rock,"Flint is a hard, microcrystalline form of quartz (silica) that occurs as nodules or layers within chalk or limestone formations.","dark gray, black, or brown with a waxy or glassy luster",7,silica (SiO₂) in the form of microcrystalline quartz (cryptocrystalline quartz),2.6 g/cm3,,"Flint was used extensively in prehistoric times to make tools and weapons because it fractures conchoidally, forming sharp edges.",rock-image-display/flint.png,rare
Greenschist,Metamorphic Rock,Low-grade metamorphic rock with green minerals like chlorite and actinolite.,Green to gray-green,5–6,"Chlorite, actinolite, albite",2.7–2.9 g/cm³,,Named for its green minerals and schistose texture.,rock-image-display/greenschist.png,rare
Greywacke,Sedimentary Rock,"Dark, coarse-grained sandstone with a mix of rock fragments and matrix.",Dark gray to greenish-gray,6–7,"Quartz, feldspar, rock fragments",2.4–2.6 g/cm³,,Often forms in tectonically active deep marine environments.,rock-image-display/greywacke.png,rare
Hornfels,Metamorphic Rock,"Hard, fine-grained rock formed by contact metamorphism.","Dark gray, black, or brown",5–7,"Quartz, feldspar, biotite",2.8–3.0 g/cm³,,Name comes from its horn-like toughness.,rock-image-display/hornfels.png,rare
Komatite,Igneous Rock,"Rare volcanic rock rich in magnesium, formed in early Earth history.",Dark green to black,5.5–6,"Olivine, pyroxene",2.9–3.3 g/cm³,,Only forms at very high temperatures; largely Archean in age.,rock-image-display/komatite.png,rare
Migmatite,Metamorphic Rock,"Rock that has undergone partial melting, mix of igneous and metamorphic textures.",Banded light and dark minerals,6–7,"Quartz, feldspar, biotite",2.6–2.9 g/cm³,,Often forms at the transition between metamorphism and melting.,rock-image-display/migmatite.png,common
Obsidian,Igneous Rock,Volcanic glass formed from rapidly cooled lava.,"Black, dark brown, green",5–6,Mostly silica (SiO₂),2.3–2.6 g/cm³,,Breaks with sharp edges; used by ancient civilizations for tools and weapons.,rock-image-display/obsidian.png,rare
Oil Shale,Sedimentary Rock,Fine-grained sedimentary rock containing kerogen.,"Brown, black, gray",2–3,"Clay minerals, organic matter (kerogen)",1.7–2.4 g/cm³,,Can be heated to produce synthetic oil (shale oil).,rock-image-display/oil_shale.png,rare
Oolite,Sedimentary Rock,Limestone made of ooids—tiny spherical grains formed by concentric precipitation of calcium carbonate.,"White, cream, light gray",3–4,Calcium carbonate (CaCO₃),2.3–2.7 g/cm³,,"Named after the Greek word for egg, 'oon', due to its rounded grains.",rock-image-display/oolite.png,rare
Pegmatite,Igneous Rock,"Very coarse-grained igneous rock, often granitic in composition.","White, pink, gray",6–7,"Quartz, feldspar, mica",2.6–2.8 g/cm³,,Known for containing rare minerals and large crystals.,rock-image-display/pegmatite.png,rare
Phyllite,Metamorphic Rock,Fine-grained metamorphic rock with a satiny sheen and slight foliation.,"Gray, greenish-gray",1–3,"Quartz, muscovite, chlorite",2.6–2.9 g/cm³,,Forms from the metamorphism of slate and grades into schist.,rock-image-display/phyllite.png,rare
Porphyry,Igneous Rock,Rock with large crystals (phenocrysts) in a fine-grained groundmass.,"Purple, gray, green",6–7,"Varies—feldspar, quartz, amphibole",2.5–2.9 g/cm³,,Important in ore deposits—often hosts copper and gold.,rock-image-display/porphyry.png,rare
Pumice,Igneous Rock,"Lightweight, vesicular volcanic rock that can float on water.","Light gray, white, cream",6,Silica-rich (felsic),0.25–0.9 g/cm³,,Formed from explosive volcanic eruptions; used in abrasives.,rock-image-display/pumice.png,common
Pyroxenite,Igneous Rock,Dense igneous rock composed mainly of pyroxene minerals.,"Dark green, black",5–6,"Augite, diopside, enstatite",3.2–3.5 g/cm³,,Often found in mantle-derived rocks; can contain valuable minerals.,rock-image-display/pyroxenite.png,rare
Quartz_diorite,Igneous Rock,Intermediate intrusive rock with more quartz than diorite.,Gray to light gray,6–7,"Plagioclase, quartz, biotite, hornblende",2.7–2.9 g/cm³,,Similar to granite but with less quartz and more dark minerals.,rock-image-display/quartz_diorite.png,rare
Quartz_monzonite,Igneous Rock,Granitoid rock with roughly equal plagioclase and orthoclase feldspar.,"Light gray, pinkish",6–7,"Quartz, feldspar, biotite",2.6–2.8 g/cm³,,Often used as decorative stone or building material.,rock-image-display/quartz_monzonite.png,rare
Quartzolite,Igneous Rock,Nearly pure quartz igneous rock with very little feldspar or other minerals.,"White, gray",7,Primarily quartz,2.6–2.7 g/cm³,,Rare rock that is almost entirely quartz.,rock-image-display/quartzolite.png,legendary
Rhyolite,Igneous Rock,"Fine-grained, silica-rich volcanic rock, equivalent to granite.","Light gray, pink, purple",6–7,"Quartz, feldspar, biotite",2.3–2.6 g/cm³,,Often associated with explosive volcanic eruptions.,rock-image-display/rhyolite.jpg,rare
Scoria,Igneous Rock,"Dark-colored, vesicular volcanic rock, heavier and denser than pumice.","Black, dark brown, red",5–6,"Basaltic composition (pyroxene, plagioclase)",1.0–1.4 g/cm³,,Commonly used as landscaping material and in barbecue grills.,rock-image-display/scoria.png,common
Serpentinite,Metamorphic Rock,"Rock composed largely of serpentine group minerals, formed by hydration of ultramafic rocks.","Green, mottled",3–5,"Serpentine minerals (chrysotile, antigorite)",2.5–2.6 g/cm³,,"May contain asbestos; has a slippery, soapy feel.",rock-image-display/serpentinite.png,rare
Shale,Sedimentary Rock,Fine-grained sedimentary rock formed from compacted mud and clay.,"Gray, black, brown",2–3,"Clay minerals, quartz, organic matter",2.4–2.6 g/cm³,,Source rock for oil and gas in many basins.,rock-image-display/shale.png,common
Slate,Metamorphic Rock,Fine-grained foliated metamorphic rock derived from shale.,"Gray, black, green, red",3–5.5,"Mica, quartz, chlorite",2.7–2.8 g/cm³,,Splits easily into flat sheets; used for roofing and tiles.,rock-image-display/slate.png,common
Talc_carbonate,Metamorphic Rock,"Rock composed of talc and carbonate minerals, often forming from ultramafic rocks.","Greenish, white, gray",1–3,"Talc, magnesite, dolomite",2.7–2.9 g/cm³,,Very soft; can be used in talcum powder and as a carving stone.,rock-image-display/talc_carbonate.png,rare
Tephrite,Igneous Rock,Fine-grained volcanic rock with feldspathoid minerals and little quartz.,"Gray, black",5–6,"Plagioclase, nepheline or leucite",2.6–2.9 g/cm³,,Found in volcanic provinces with alkali-rich magmas.,rock-image-display/tephrite.png,rare
Travertine,Sedimentary Rock,Limestone formed by the precipitation of calcium carbonate from mineral springs.,"White, tan, cream",3–4,Calcium carbonate (CaCO₃),2.4–2.7 g/cm³,,Often forms beautiful terraces and is used as a decorative stone.,rock-image-display/travertine.png,rare
Tuff,Igneous Rock,Rock formed from compacted volcanic ash and debris from explosive eruptions.,"Gray, pink, white, brown",3–6,"Volcanic ash, pumice, crystals",1.4–2.5 g/cm³,,Used as a lightweight building stone since ancient times.,rock-image-display/tuff.png,common
Turbidite,Sedimentary Rock,"Deposits from turbidity currents, showing graded bedding from underwater landslides.","Gray, brown, green",3–6,"Sand, silt, clay",2.4–2.7 g/cm³,,Important indicators of deep marine sedimentary processes.,rock-image-display/turbidite.png,rare
Wackestone,Sedimentary Rock,Mud-supported carbonate rock with more than 10% grains.,"Gray, beige, brown",3–4,"Calcite, fossil fragments",2.4–2.7 g/cm³,,Part of the Dunham classification for limestones.,rock-image-display/wackestone.png,rare
Tectonite,Metamorphic Rock,"Rock that has undergone strong deformation, showing foliation, lineation, or other tectonic structures.","Gray, green, brown",Varies (depends on protolith),"Variable; quartz, feldspar, mica, amphiboles",2.6–3.0 g/cm³,,Records the deformation history of rocks during tectonic events.,rock-image-display/tectonite.png,legendary
Skarn,Metamorphic Rock,Rock formed by chemical exchange between magma and carbonate rocks near a contact zone.,"Green, brown, red, black",5–7,"Garnet, pyroxene, wollastonite, epidote",2.9–3.3 g/cm³,,"Often hosts economically valuable minerals like tungsten, copper, and iron.",rock-image-display/skarn.png,legendary
